Benchmark	L1_HIT_pct
500.perlbench_r	3.075
502.gcc_r	2.008
503.bwaves_r	0.0
505.mcf_r	50.816
507.cactuBSSN_r	0.0
508.namd_r	0.296
510.parest_r	70.089
511.povray_r	0.76
519.lbm_r	0.0
520.omnetpp_r	24.761
521.wrf_r	70.607
523.xalancbmk_r	9.884
525.x264_r	2.74
526.blender_r	0.93
527.cam4_r	27.02
531.deepsjeng_r	1.237
538.imagick_r	0.0
541.leela_r	6.906
544.nab_r	0.134
548.exchange2_r	nan
549.fotonik3d_r	0.0
554.roms_r	44.234
557.xz_r	27.582
Avg	15.5945
