Benchmark	L1_HIT_pct
500.perlbench_r	17.176
502.gcc_r	98.215
503.bwaves_r	99.989
505.mcf_r	91.641
507.cactuBSSN_r	99.935
508.namd_r	82.886
510.parest_r	97.643
511.povray_r	10.465
519.lbm_r	96.737
520.omnetpp_r	26.22
521.wrf_r	94.999
523.xalancbmk_r	59.236
525.x264_r	33.826
526.blender_r	6.754
527.cam4_r	63.922
531.deepsjeng_r	2.387
538.imagick_r	7.461
541.leela_r	7.182
544.nab_r	78.3
548.exchange2_r	nan
549.fotonik3d_r	89.788
554.roms_r	87.373
557.xz_r	30.965
Avg	58.32272727272728
